"","x.ph","x.N","x.P","x.K","x.depth","x.temp","x.rain","x.plant"
"1",7.8,38,93,41,23.32,35.9,695.57,2
"2",8,58,45,49,50.45,31.3,1109.55,1
"3",7.9,136,63,7,33.35,17.4,524.42,2
"4",8.2,24,90,42,24.67,22.9,1033.32,1
"5",8.4,33,54,43,43.66,31.7,1167.27,1
"6",6.1,117,64,82,48.24,39.5,542.85,2
"7",8,105,77,87,20.89,27.1,893.1,0
"8",7.7,119,33,50,32.82,19.5,989.96,2
"9",7.7,119,53,19,39.91,26,830.64,2
"10",8.4,173,106,14,22.19,25.8,941.89,2
"11",6.6,172,42,83,56,38.7,707.52,0
"12",6.3,151,106,41,20.17,35.4,1080.62,0
"13",8.5,154,93,53,43.84,36.2,1150.73,0
"14",6,52,50,38,44.77,15.1,1049.3,2
"15",8,102,24,5,18.66,26.7,834.51,2
"16",6.8,170,49,5,21.62,21.3,860.6,2
"17",6.3,38,88,86,34.03,26.8,1143.55,0
"18",7.9,96,107,52,36.42,37,562.02,2
"19",8.5,73,88,114,51.89,34.2,1086.9,2
"20",8.6,106,98,54,16.15,34.5,562.95,2
"21",8,132,57,12,28.94,30.8,1150.13,0
"22",7,57,115,78,45.01,15.3,860.64,2
"23",6.7,125,64,23,19.8,28.8,573.95,1
"24",6.8,47,36,58,31.36,31.4,698.3,1
"25",7.3,59,64,82,55.39,16.8,1113.14,0
"26",8.7,115,76,113,59.37,21.6,820.47,1
"27",6.6,144,46,116,32.57,25.9,717.89,0
"28",6.4,132,112,65,24.21,22.3,672.53,0
"29",6.4,155,60,117,27.7,28.4,820.79,0
"30",6.2,24,47,98,30.17,32.4,702.55,1
"31",8.3,76,83,1,22.78,30.5,828.25,2
"32",8.4,166,49,0,27.1,30.2,613.48,2
"33",7.4,171,60,81,36.17,24,813.7,0
"34",7.6,171,56,91,48.25,33.3,594.56,2
"35",6.1,140,89,3,22.98,34.7,835.56,0
"36",7.7,49,60,21,15.06,32.9,576.29,1
"37",7.8,26,92,112,46.87,32.2,998.76,0
"38",6.7,45,62,10,39.57,33.3,805.23,1
"39",7.2,97,100,30,35.44,31.7,561.07,0
"40",8.8,98,46,62,33.05,16.1,683.29,2
"41",8.5,109,104,36,15.62,18.8,984.56,2
"42",6.5,137,98,91,18.73,24.3,631.79,0
"43",8.8,175,112,1,40.08,22.4,826.58,0
"44",6.7,138,86,19,56.5,21.2,725.34,1
"45",6.2,173,32,10,39.93,24.2,1047.2,0
"46",8,164,61,88,46.13,26,1091.02,2
"47",7.2,72,31,117,17.12,17.8,917.83,0
"48",8.6,164,38,115,20.27,35,946.34,2
"49",6.4,60,38,62,40.39,39.9,1030.6,0
"50",7.3,68,48,102,29.38,36.6,592.1,2
"51",7.8,59,28,43,57.57,39.1,869.18,2
"52",6.5,129,91,110,43.57,30.8,592.93,0
"53",8.8,130,37,21,47.77,17.8,505.1,2
"54",7.6,77,31,20,24.75,29.7,637.44,2
"55",7.6,69,43,12,19.47,19.5,548.08,2
"56",6.3,48,73,47,36.93,29.9,1155.43,1
"57",7.7,122,50,49,37.72,20.9,725.19,0
"58",8.8,30,23,22,25.21,39.1,502.33,2
"59",6.7,120,22,61,15.4,22.3,1145.05,2
"60",6.9,128,54,116,33.51,22.9,608.15,0
"61",8.2,168,43,54,27.05,33,733.12,0
"62",8.2,161,73,39,33.43,17,1104.84,1
"63",7.9,155,35,2,40.28,26.2,715.2,0
"64",7,171,30,107,19.55,27.1,1069.69,0
"65",7.9,39,109,13,37.35,19.5,1186.08,0
"66",7.2,139,90,68,25.58,17,656.37,2
"67",7.9,25,111,19,35.58,18.2,859.82,0
"68",7.2,83,32,109,17.32,22.1,728.54,2
"69",6.4,87,65,69,42.06,15.2,727.03,0
"70",6.5,147,115,66,23.08,19.4,859.03,0
"71",7.3,131,92,82,27,22.6,1070.61,0
"72",6.8,116,119,101,39.12,31,577.04,2
"73",6.4,93,87,101,45.57,25.2,1002.07,0
"74",8.4,114,108,13,25.4,34.8,521.38,2
"75",6.7,103,115,94,43.67,23.2,727.95,0
"76",6.6,178,40,47,19.77,28,1125.62,1
"77",7.1,142,67,48,53.06,16.6,1135.91,1
"78",7.5,143,64,93,35.59,24.3,1191.03,2
"79",7.8,168,103,98,42.58,16.8,559.15,0
"80",8.3,161,70,47,47.46,30.1,828.59,1
"81",7.1,179,49,109,48.52,25.9,652.37,0
"82",6.6,128,86,41,39.22,18.8,764.21,1
"83",8.3,173,48,58,27.98,37.5,751.18,0
"84",8.2,69,21,80,43.07,30.5,1156.9,2
"85",6.4,80,118,28,21.44,21.2,560.16,0
"86",6.1,47,32,77,58.71,22.3,1074.34,1
"87",8.2,48,20,82,40.73,35.1,954.55,0
"88",6.9,26,99,109,19.87,36.4,1131.33,1
"89",8.6,86,100,105,41.92,34.3,547.14,2
"90",6,80,64,28,32.32,16.5,561.77,2
"91",8.3,108,41,92,43.74,25.8,896.73,0
"92",8.1,30,93,88,58.11,17.7,555.22,2
"93",6.5,20,73,65,36.44,18.7,923.13,1
"94",6.4,48,108,16,22.26,30.3,898.56,1
"95",8,39,22,63,56.08,36.1,626.54,2
"96",6.8,82,65,86,35.21,17.3,534.55,2
"97",7.3,31,47,75,54.91,33.8,583.51,1
"98",8.4,60,101,112,49.61,19.6,1078.08,2
"99",7.6,127,104,84,48.51,30,767.12,0
"100",7.3,94,57,4,42.99,35.7,956.81,2
"101",6.1,59,108,16,25.54,39.9,927.12,0
"102",8.1,36,85,108,54.57,30.5,819.12,1
"103",6.5,49,24,100,59.62,33.2,898.27,0
"104",6.1,57,105,102,54.48,18.5,830.24,0
"105",7.6,21,88,10,17.21,23.9,705.28,1
"106",7.8,108,78,83,25.86,28,1141.22,2
"107",8.7,134,117,33,17.86,28.7,516.49,2
"108",8.9,51,114,77,16.84,17.1,1000.09,1
"109",6.6,177,29,46,15.91,37.4,857.95,0
"110",6.4,26,51,46,54.97,39.5,665.27,1
"111",7.9,164,69,17,59.2,37.1,796.19,1
"112",6.8,79,70,60,36.37,27.4,953.48,1
"113",7.7,95,116,11,51.89,38.5,730.73,2
"114",8.2,22,56,107,31.01,17.5,572.85,2
"115",8.9,69,26,8,22.14,37,1157.35,2
"116",8.6,150,40,116,40.74,26.9,1078.15,2
"117",6.1,169,57,46,33.34,30.6,1090.75,0
"118",7.3,24,87,12,37,24.3,917.79,1
"119",7.2,26,102,13,38.47,35.6,771.9,0
"120",6.6,138,98,99,32.8,36.6,932.45,0
"121",8.8,73,21,107,46.76,23.6,625.14,2
"122",7.9,152,20,6,27.35,33,721.98,2
"123",6.5,68,79,36,33.23,39.4,715.8,0
"124",8.9,146,69,74,52.45,18.2,1098.39,1
"125",8,89,23,37,53.43,25.7,633.93,2
"126",7.7,133,103,69,23.99,21.9,594.03,2
"127",6.7,150,90,69,50.3,26.4,1015.76,1
"128",8.3,161,38,82,42.94,15.2,973.36,2
"129",8.6,157,32,90,29.93,31.6,928.84,0
"130",6.4,93,23,75,43.37,23.3,1026.42,2
"131",8,115,27,68,57.69,22.5,568.11,2
"132",6.7,35,63,81,19.91,30.1,588.33,1
"133",6.1,171,34,97,39.29,35.7,955.47,0
"134",7.7,103,62,19,45.37,34.8,912.77,2
"135",6.7,103,68,99,40.17,19.7,660.39,0
"136",7.2,117,119,2,42.72,23,842.15,2
"137",7.2,104,30,10,17.91,31.3,759.13,2
"138",8.8,178,34,107,52.44,17.8,1199.29,2
"139",6.2,40,52,2,27.3,25.1,797.56,0
"140",8.5,159,67,37,48.23,38.4,786.43,1
"141",9,147,109,32,26.3,35.3,899.12,0
"142",7.9,80,101,35,15.88,18.5,1100.59,1
"143",6.8,63,25,38,54.04,29.8,932.28,2
"144",6.2,172,79,25,23.28,29.5,653.42,2
"145",8.3,20,82,27,21.74,23.3,1017.29,1
"146",6.1,20,110,17,57.85,21.3,953.2,1
"147",6.8,63,48,30,48.88,34.4,1025.23,0
"148",8.8,153,68,3,22.92,35.7,550.54,2
"149",7.4,159,90,21,37.19,16.7,631.01,0
"150",7.6,25,87,32,33.8,34.4,738.23,1
"151",7.1,40,112,91,30.28,27.8,749.06,0
"152",8.7,57,53,104,20.3,18.1,1152.78,2
"153",8.1,94,92,94,17.23,37.1,876.6,0
"154",6.4,85,46,85,49.49,29.5,1074.02,2
"155",7.8,94,107,88,36.49,37.9,879.8,0
"156",7.9,127,52,27,22.64,22.9,767.58,1
"157",6.2,82,118,28,36.75,17,803.57,0
"158",8.1,144,22,92,58.82,38.7,1126.73,2
"159",6.2,159,107,109,27.5,37.7,1030.86,0
"160",6.4,66,80,57,54.86,35.1,730.82,1
"161",6.7,128,84,70,45.87,21.4,817.31,0
"162",8.4,60,112,3,34.09,36.7,864.52,2
"163",8.6,107,105,17,19.07,34.9,691.89,2
"164",6.3,141,24,28,32.82,22.4,822.94,2
"165",8.6,59,40,118,31.02,19.1,944.61,0
"166",8.2,114,37,101,53.07,31.6,1081.04,1
"167",6.7,52,32,88,26.22,18.5,896.54,0
"168",7.4,54,55,87,55.92,35.8,1021.74,1
"169",8.6,175,71,30,38.14,27.5,940.33,0
"170",6.6,137,49,77,45.5,29.8,803.24,1
"171",7.1,66,46,105,46.84,32,983.96,0
"172",7.4,140,61,115,26.66,19.2,1163.01,0
"173",7.3,115,100,31,37.57,26.9,906.89,0
"174",6,178,32,47,39.36,20.1,979.32,2
"175",6.6,171,90,61,51.97,33.6,907.37,1
"176",7.4,141,39,18,42.35,25.9,967.31,1
"177",7.2,135,111,88,38,38,614.1,0
"178",6.6,58,34,26,16.79,15.7,1119.77,1
"179",8,176,52,90,57.26,29.1,617.8,2
"180",6.9,158,23,78,42.49,21.7,518.15,2
"181",6.5,52,50,96,21.59,15.3,950.48,0
"182",8.5,147,42,60,30.48,23.7,565.21,2
"183",7.8,142,81,74,32.14,30.9,1164.43,0
"184",6.3,165,110,79,32.88,34.8,595.08,0
"185",8.5,63,87,77,51.95,15.3,680.24,2
"186",7.7,77,40,71,45.9,38.1,960.89,2
"187",6.3,136,117,4,32.22,24,922.28,0
"188",8,106,113,27,24.74,26.1,914.17,2
"189",7.9,116,90,29,27.55,30.7,866.03,2
"190",6.8,54,114,91,55.3,36,711.56,0
"191",8.1,63,53,99,46.64,30.1,508.33,2
"192",7.3,46,87,88,25.06,35.4,635.09,2
"193",7,167,71,71,28.34,16.8,1077.42,0
"194",7.9,162,104,1,15.48,21,553.24,2
"195",7.9,100,84,43,46.4,29.2,545.93,2
"196",7.4,176,61,26,43.2,21.7,1185.64,1
"197",8.5,36,103,39,26.35,29,678.84,2
"198",8,138,112,90,42.57,35.9,836.88,0
"199",8.7,139,33,110,43.59,21.3,1058.19,0
"200",8.9,67,30,54,37.41,30.1,939.47,2
"201",8.6,54,52,54,15.42,37,619.24,2
"202",6.3,146,89,50,17.97,19.1,1099.41,1
"203",7.3,167,81,2,35.18,28.3,765.69,0
"204",6.7,122,79,47,31.85,32.3,830.12,1
"205",8.8,80,53,34,22.09,27,813.2,2
"206",8.2,115,51,82,42.79,35.8,1069.55,2
"207",7.4,94,53,16,18.51,33.4,1084.63,1
"208",8.9,107,35,58,27.1,32.6,945.63,2
"209",7.1,116,93,5,41.13,35.5,914.51,0
"210",7,23,119,111,15.43,21.4,624.48,0
"211",6.3,71,104,51,52.67,35,796.94,0
"212",8.2,98,64,65,44.65,15.4,619.42,2
"213",7.1,131,52,33,29.73,16.2,1072.51,0
"214",8.5,103,29,85,42.3,34.6,889.22,2
"215",8.8,141,118,40,58.78,29.2,730.91,0
"216",6.6,134,20,10,58.45,30.3,972.63,2
"217",7.8,144,109,54,37.83,34.5,1000.18,0
"218",6.5,22,30,91,50.53,21.8,569.95,2
"219",6,45,75,27,58.99,34.2,590.73,1
"220",8.4,53,99,21,27.07,28.9,631.8,2
"221",7.3,26,20,118,41.32,15.9,851.89,0
"222",7.9,163,24,41,23.02,36.7,1046.34,2
"223",7,37,111,36,41.73,30.9,859.14,0
"224",8.5,99,100,114,34.23,38.4,848.64,2
"225",6.3,92,39,85,49.35,27.4,667.1,0
"226",8.4,111,42,14,37.17,20,750.17,2
"227",7.3,69,30,16,38.27,24.7,711.04,0
"228",6.4,116,110,34,31.42,21,621.06,2
