"","paddy.slevel","paddy.temp","paddy.ph","paddy.season","paddy.humidity","paddy.variation","paddy.yield"
"1",1181,24.4,4.2,0,68,5,798.505910889556
"2",1520,22.2,8.8,1,67,5,660.609980878265
"3",1309,39.7,5.1,0,75,5,731.591683191558
"4",436,22.4,5.2,0,82,1,941.063731935962
"5",623,27.7,4.7,0,88,1,927.008309851711
"6",133,22.5,4.7,1,78,5,613.402572848524
"7",2230,28.6,7,1,79,5,530.026420244637
"8",1540,15.1,6.9,0,69,5,588.587040256243
"9",1883,16.4,3.6,0,74,1,746.806078512842
"10",374,23.2,4,0,94,1,859.566156143167
"11",1939,40,4.3,1,75,5,641.855832391108
"12",2162,33.7,4,0,79,5,689.423855921874
"13",2348,18.1,7.9,0,69,5,679.683345684316
"14",2290,24.9,8.9,0,76,1,747.198338678572
"15",1686,28.8,8.2,0,60,1,904.277034565651
"16",1296,25.1,8.1,0,88,5,727.031359565444
"17",1100,21.7,5.6,0,66,5,707.222021875593
"18",656,24.1,6.4,1,63,5,577.74208317666
"19",2410,15,4.6,0,87,1,799.66429786291
"20",675,17.5,7,0,89,1,701.097315976707
"21",1623,31.6,7.4,0,63,5,910.401956015266
"22",1008,33.9,8.7,0,92,5,641.219443525188
"23",1568,28.4,4.4,0,68,5,607.33255482434
"24",688,18.4,3.8,1,70,1,546.922590839677
"25",2149,34,4.9,0,71,1,886.846658944463
"26",1786,16.3,8.2,0,60,5,556.121924686401
"27",895,33.3,7.3,0,63,5,745.931136476186
"28",480,24.8,4,0,87,5,806.561826580825
"29",105,38.4,8.9,0,79,1,829.44519824426
"30",2386,37.3,8.6,0,67,1,815.536262203629
"31",1951,26,4.1,0,85,5,829.492502341357
"32",1542,32.7,7.4,0,83,5,825.834912255717
"33",926,30.7,8.7,1,94,5,659.302583949951
"34",2376,34.7,3.3,0,71,1,901.925692695659
"35",1346,36,4.4,0,61,1,783.513090992346
"36",40,32.4,5.1,0,80,5,700.62980032526
"37",486,27.2,3,0,72,5,719.492287056831
"38",877,21.4,6.4,0,91,5,820.710247654157
"39",2043,22.4,5,0,78,1,817.030383491268
